"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2699167,"Guzmania teuscheri L.B.Sm.","Guzmania teuscheri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania teuscheri",6,7707728,196,1369,3740,2698853,2699167,"Liliopsida",NA,NA,"Guzmania teuscheri",233
2760642,"Heliconia burleana Abalo & G.Morales","Heliconia burleana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Zingiberales","Heliconiaceae","Heliconia","Heliconia burleana",6,7707728,196,627,4677,2760545,2760642,"Liliopsida",NA,NA,"Heliconia burleana",234
3152559,"Hibiscus rosa-sinensis L.","Hibiscus rosa-sinensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Hibiscus","Hibiscus rosa-sinensis",6,7707728,220,941,6685,3152542,3152559,"Magnoliopsida",NA,NA,"Hibiscus rosa-sinensis",235
6365052,"Kohleria spicata (Kunth) Oerst.","Kohleria spicata","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Kohleria","Kohleria spicata",6,7707728,220,408,6654,5337639,6365052,"Magnoliopsida",NA,NA,"Kohleria spicata",236
7962250,"Macleania pentaptera Hoerold","Macleania pentaptera","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Macleania","Macleania pentaptera",6,7707728,220,1353,2505,7328331,7962250,"Magnoliopsida",NA,NA,"Macleania pentaptera",237
4170395,"Macleania recumbens A.C.Sm.","Macleania recumbens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Macleania","Macleania recumbens",6,7707728,220,1353,2505,7328331,4170395,"Magnoliopsida",NA,NA,"Macleania recumbens",238
2899314,"Palicourea anderssoniana C.M.Taylor","Palicourea anderssoniana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea anderssoniana",6,7707728,220,412,8798,2898662,2899314,"Magnoliopsida",NA,NA,"Palicourea anderssoniana",239
2898742,"Palicourea demissa Standl.","Palicourea demissa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea demissa",6,7707728,220,412,8798,2898662,2898742,"Magnoliopsida",NA,NA,"Palicourea demissa",240
2898809,"Palicourea sodiroi Standl.","Palicourea sodiroi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea sodiroi",6,7707728,220,412,8798,2898662,2898809,"Magnoliopsida",NA,NA,"Palicourea sodiroi",241
5288327,"Pitcairnia nigra (Carrière) André","Pitcairnia nigra","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Pitcairnia","Pitcairnia nigra",6,7707728,196,1369,3740,2696685,5288327,"Liliopsida",NA,NA,"Pitcairnia nigra",242
4173231,"Psammisia aberrans A.C.Sm.","Psammisia aberrans","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia aberrans",6,7707728,220,1353,2505,7328253,4173231,"Magnoliopsida",NA,NA,"Psammisia aberrans",243
4172856,"Psammisia ecuadorensis Hoerold","Psammisia ecuadorensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia ecuadorensis",6,7707728,220,1353,2505,7328253,4172856,"Magnoliopsida",NA,NA,"Psammisia ecuadorensis",244
4172340,"Psammisia oreogenes Sleumer","Psammisia oreogenes","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia oreogenes",6,7707728,220,1353,2505,7328253,4172340,"Magnoliopsida",NA,NA,"Psammisia oreogenes",245
4172266,"Psammisia pauciflora Griseb.","Psammisia pauciflora","SPECIES","SYNONYM",97,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia urichiana",6,7707728,220,1353,2505,7328253,4169640,"Magnoliopsida",4169640,NA,"Psammisia pauciflora",246
4172071,"Psammisia sodiroi Hoerold","Psammisia sodiroi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia sodiroi",6,7707728,220,1353,2505,7328253,4172071,"Magnoliopsida",NA,NA,"Psammisia sodiroi",247
4172013,"Psammisia ulbrichiana Hoerold","Psammisia ulbrichiana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Psammisia","Psammisia ulbrichiana",6,7707728,220,1353,2505,7328253,4172013,"Magnoliopsida",NA,NA,"Psammisia ulbrichiana",248
5302686,"Renealmia sessilifolia Gagnep.","Renealmia sessilifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Zingiberales","Zingiberaceae","Renealmia","Renealmia sessilifolia",6,7707728,196,627,4687,9627671,5302686,"Liliopsida",NA,NA,"Renealmia sessilifolia",249
2754207,"Bomarea multiflora (L.f.) Mirb.","Bomarea multiflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Bomarea","Bomarea multiflora",6,7707728,196,1172,7695,2753928,2754207,"Liliopsida",NA,NA,"Bomarea multiflora",250
3161700,"Burmeistera multiflora Zahlbr.","Burmeistera multiflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Burmeistera","Burmeistera multiflora",6,7707728,220,414,8801,3161537,3161700,"Magnoliopsida",NA,NA,"Burmeistera multiflora",251
2761674,"Calathea ischnosiphonoides H.Kenn.","Calathea ischnosiphonoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Zingiberales","Marantaceae","Calathea","Calathea ischnosiphonoides",6,7707728,196,627,8784,8394666,2761674,"Liliopsida",NA,NA,"Calathea ischnosiphonoides",252
5412858,"Centropogon preslii E.Wimm.","Centropogon preslii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Centropogon","Centropogon preslii",6,7707728,220,414,8801,7815589,5412858,"Magnoliopsida",NA,NA,"Centropogon preslii",253
5412457,"Centropogon solanifolius Benth.","Centropogon solanifolius","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Centropogon","Centropogon solanifolius",6,7707728,220,414,8801,7815589,5412457,"Magnoliopsida",NA,NA,"Centropogon solanifolius",254
5589546,"Columnea mastersonii (Wiehler) L.P.Kvist & L.E.Skog","Columnea mastersonii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Columnea","Columnea mastersonii",6,7707728,220,408,6654,3172890,5589546,"Magnoliopsida",NA,NA,"Columnea mastersonii",255
5589106,"Columnea picta H.Karst.","Columnea picta","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Columnea","Columnea picta",6,7707728,220,408,6654,3172890,5589106,"Magnoliopsida",NA,NA,"Columnea picta",256
5591264,"Drymonia brochidodroma Wiehler","Drymonia brochidodroma","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Drymonia","Drymonia brochidodroma",6,7707728,220,408,6654,3233484,5591264,"Magnoliopsida",NA,NA,"Drymonia brochidodroma",257
6069949,"Drymonia collegarum J.L.Clark & J.R.Clark","Drymonia collegarum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Drymonia","Drymonia collegarum",6,7707728,220,408,6654,3233484,6069949,"Magnoliopsida",NA,NA,"Drymonia collegarum",258
5590401,"Drymonia tenuis (Benth.) J.L.Clark","Drymonia tenuis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Drymonia","Drymonia tenuis",6,7707728,220,408,6654,3233484,5590401,"Magnoliopsida",NA,NA,"Drymonia tenuis",259
5590397,"Drymonia teuscheri (Raymond) J.L.Clark","Drymonia teuscheri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Drymonia","Drymonia teuscheri",6,7707728,220,408,6654,3233484,5590397,"Magnoliopsida",NA,NA,"Drymonia teuscheri",260
5349513,"Erythrina megistophylla Diels","Erythrina megistophylla","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Fabales","Fabaceae","Erythrina","Erythrina edulis",6,7707728,220,1370,5386,2945830,5349541,"Magnoliopsida",5349541,NA,"Erythrina megistophylla",261
3818183,"Gasteranthus lateralis (C.V.Morton) Wiehler","Gasteranthus lateralis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Gasteranthus","Gasteranthus lateralis",6,7707728,220,408,6654,6365043,3818183,"Magnoliopsida",NA,NA,"Gasteranthus lateralis",262
3817937,"Gasteranthus pansamalanus (Donn.Sm.) Wiehler","Gasteranthus pansamalanus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Gasteranthus","Gasteranthus pansamalanus",6,7707728,220,408,6654,6365043,3817937,"Magnoliopsida",NA,NA,"Gasteranthus pansamalanus",263
3817868,"Gasteranthus quitensis Benth.","Gasteranthus quitensis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Gasteranthus","Gasteranthus quitensis",6,7707728,220,408,6654,6365043,3817868,"Magnoliopsida",NA,NA,"Gasteranthus quitensis",264
3819026,"Glossoloma oblongicalyx (J.L.Clark & L.E.Skog) J.L.Clark","Glossoloma oblongicalyx","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Glossoloma","Glossoloma oblongicalyx",6,7707728,220,408,6654,8024243,3819026,"Magnoliopsida",NA,NA,"Glossoloma oblongicalyx",265
2698946,"Guzmania amplectens L.B.Sm.","Guzmania amplectens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania amplectens",6,7707728,196,1369,3740,2698853,2698946,"Liliopsida",NA,NA,"Guzmania amplectens",266
2699207,"Guzmania lehmanniana (Wittm.) Mez","Guzmania lehmanniana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania lehmanniana",6,7707728,196,1369,3740,2698853,2699207,"Liliopsida",NA,NA,"Guzmania lehmanniana",267
2699087,"Guzmania squarrosa (Mez & Sodiro) L.B.Sm. & Pittendr.","Guzmania squarrosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania squarrosa",6,7707728,196,1369,3740,2698853,2699087,"Liliopsida",NA,NA,"Guzmania squarrosa",268
2760607,"Heliconia impudica Abalo & G.Morales","Heliconia impudica","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Zingiberales","Heliconiaceae","Heliconia","Heliconia impudica",6,7707728,196,627,4677,2760545,2760607,"Liliopsida",NA,NA,"Heliconia impudica",269
5589557,"Kohleria affinis (Fritsch) Roalson & Boggan","Kohleria affinis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Kohleria","Kohleria affinis",6,7707728,220,408,6654,5337639,5589557,"Magnoliopsida",NA,NA,"Kohleria affinis",270
6365905,"Kohleria villosa (Fritsch) Wiehler","Kohleria villosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Kohleria","Kohleria villosa",6,7707728,220,408,6654,5337639,6365905,"Magnoliopsida",NA,NA,"Kohleria villosa",271
4171067,"Macleania bullata Yeo","Macleania bullata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Macleania","Macleania bullata",6,7707728,220,1353,2505,7328331,4171067,"Magnoliopsida",NA,NA,"Macleania bullata",272
4170250,"Macleania stricta A.C.Sm.","Macleania stricta","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Macleania","Macleania stricta",6,7707728,220,1353,2505,7328331,4170250,"Magnoliopsida",NA,NA,"Macleania stricta",273
5599572,"Meriania tomentosa (Cogn.) Wurdack","Meriania tomentosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Myrtales","Melastomataceae","Meriania","Meriania tomentosa",6,7707728,220,690,6683,3231526,5599572,"Magnoliopsida",NA,NA,"Meriania tomentosa",274
2694252,"Mezobromelia capituligera (Griseb.) J.R.Grant","Mezobromelia capituligera","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Cipuropsis","Cipuropsis capituligera",6,7707728,196,1369,3740,2694345,10912159,"Liliopsida",10912159,NA,"Mezobromelia capituligera",275
5398858,"Mikania websteri H.Rob. & W.C.Holmes","Mikania websteri","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Mikania","Mikania websteri",6,7707728,220,414,3065,7722389,5398858,"Magnoliopsida",NA,NA,"Mikania websteri",276
2899164,"Palicourea acetosoides Wernham","Palicourea acetosoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea acetosoides",6,7707728,220,412,8798,2898662,2899164,"Magnoliopsida",NA,NA,"Palicourea acetosoides",277
2899193,"Palicourea lineata Benth.","Palicourea lineata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea lineata",6,7707728,220,412,8798,2898662,2899193,"Magnoliopsida",NA,NA,"Palicourea lineata",278
5288556,"Pitcairnia sodiroi Mez","Pitcairnia sodiroi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Pitcairnia","Pitcairnia sodiroi",6,7707728,196,1369,3740,2696685,5288556,"Liliopsida",NA,NA,"Pitcairnia sodiroi",279
3916264,"Sarcopera anomala (Kunth) Bedell","Sarcopera anomala","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Marcgraviaceae","Sarcopera","Sarcopera anomala",6,7707728,220,1353,6643,7275894,3916264,"Magnoliopsida",NA,NA,"Sarcopera anomala",280
3823973,"Besleria riparia C.V.Morton","Besleria riparia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Besleria","Besleria riparia",6,7707728,220,408,6654,6365035,3823973,"Magnoliopsida",NA,NA,"Besleria riparia",281
2754168,"Bomarea carderi Mast.","Bomarea carderi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Bomarea","Bomarea carderi",6,7707728,196,1172,7695,2753928,2754168,"Liliopsida",NA,NA,"Bomarea carderi",282
2753936,"Bomarea patinii Baker","Bomarea patinii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Bomarea","Bomarea patinii",6,7707728,196,1172,7695,2753928,2753936,"Liliopsida",NA,NA,"Bomarea patinii",283
