"","Name","ID","NROW"
"432","Proteopsis argentea",432,109
"433","Lepidaploa rufogrisea",433,705
"434","Barbacenia flava",434,117
"435","Barbacenia gardneri",435,19
"436","Barbacenia longiflora",436,29
"437","Caamembeca oleifolia",437,45
"438","Calolisianthus pulcherrimus",438,71
"439","Minasia scapigera",439,55
"440","Cipocereus minensis",440,144
"441","Cuphea disperma",441,135
"442","Cuphea diosmifolia",442,112
"443","Cuphea ericoides",443,897
"444","Encholirium subsecundum",444,41
"445","Esterhazya nanuzae",445,22
"446","Gaylussacia virgata",446,309
"447","Hyptis passerina",447,179
"448","Periandra mediterranea",448,1829
"449","Lychnophora pohlii",449,115
"450","Lychnophora tomentosa",450,0
"451","Mandevilla pycnantha",451,170
"452","Aspilia foliosa",452,396
"453","Mimosa aurivillus",453,330
"454","Paliavana sericiflora",454,210
"455","Palicourea rigida",455,2368
"456","Palicourea marcgravii",456,1701
"457","Pavonia schwackei",457,2
"458","Physocalyx major",458,99
"459","Piptolepis imbricata",459,21
"460","Psyllocarpus laricoides",460,470
"461","Schwartzia adamantium",461,273
"462","Vellozia hirsuta",462,125
"463","Ruellia densa",463,29
"464","Vochysia discolor",464,64
"465","Canistrum fragrans",465,0
"466","Aechmea coelestis",466,79
"467","Aechmea ornata",467,136
"468","Calathea communis",468,0
"469","Nidularium billbergioides",469,0
"470","Canistrum cyathiforme",470,0
"471","Citharexylum myrianthum",471,412
"472","Dyssochroma viridiflora",472,0
"473","Elleanthus brasiliensis",473,136
"474","Hillia illustris",474,202
"475","Musa ornata",475,357
"476","Nematanthus striatus",476,49
"477","Nidularium krisgreeniae",477,16
"478","Vriesea platynema",478,265
"479","Casearia sylvestris",479,7642
"480","Amphilophium elongatum",480,450
"481","Bauhinia brevipes",481,426
"482","Bauhinia rufa",482,1246
"483","Billbergia porteana",483,149
"484","Bromelia balansae",484,560
"485","Caryocar brasiliense",485,1480
"486","Fridericia craterophora",486,298
"487","Helicteres brevispira",487,773
"488","Inga uruguensis",488,0
"489","Jacaranda caroba",489,586
"490","Luehea grandiflora",490,781
"491","Mabea fistulifera",491,894
"492","Qualea multiflora",492,1587
"493","Serjania lethalis",493,1080
"494","Styrax camporum",494,761
"495","Vochysia tucanorum",495,1297
"496","Berberis lutea",496,246
"497","Bomarea brevis",497,90
"498","Bomarea setacea",498,472
"499","Brachyotum lutescens",499,7
"500","Brachyotum naudinii",500,89
"501","Greigia macbrideana",501,1
"502","Centropogon isahellinus",502,0
"503","Desfontainia spinosa",503,347
"504","Dunalia brachyacantha",504,194
"505","Fuchsia decussata",505,69
"506","Gaultheria bracteata",506,363
"507","Gentianella fruticulosa",507,18
"508","Gentianella violacea",508,1
"509","Meriania radula",509,51
"510","Miconia alpina",510,27
"511","Monnina salicifolia",511,615
"512","Pellegrinia hirsuta",512,15
"513","Puya pseudoeryngioides",513,5
"514","Ribes incarnatum",514,30
"515","Saracha punctata",515,354
"516","Tropaeolum bicolor",516,7
"517","Impatiens walleriana",517,3500
"518","Bromelia antiacantha",518,275
"519","Inga subnuda",519,493
"520","Nidularium angustifolium",520,5
"521","Stachytarpheta cayennensis",521,4143
"522","Triplaris americana",522,4212
